taxon,birth,death,ccp,source
  TAXONOMIC ROOT  ,0.3518067766768722,0.0,0.9895962026139541,computed
1A,1e-06,0.0,1.0,computed
2A,1e-06,0.0,1.0,computed
3A,1e-06,0.0,1.0,computed
4A,1e-06,0.0,1.0,computed
5A,1e-06,0.0,1.0,computed
6A,1e-06,0.0,1.0,computed
1B,0.3518067766768722,0.0,0.7,from   TAXONOMIC ROOT   (crown capture probability)
2B,0.3518067766768722,0.0,0.75,from 1B (crown capture probability)
3B,0.3518067766768722,0.0,0.5555555555555556,from 2B (crown capture probability)
4B,0.3518067766768722,0.0,0.6666666666666667,from 3B (crown capture probability)
5B,0.3518067766768722,0.0,0.0,from 4B (crown capture probability)
6B,0.3518067766768722,0.0,0.0,from 5B (crown capture probability)
5Bd,0.3518067766768722,0.0,0,from 4B (singleton)
6Bd,0.3518067766768722,0.0,0,from 5Bd (singleton)
4Bc,0.3518067766768722,0.0,0.0,from 3B (unsampled)
5Bc,0.3518067766768722,0.0,0.0,from 4Bc (unsampled)
6Bc,0.3518067766768722,0.0,0.0,from 5Bc (unsampled)
3Bb,0.3518067766768722,0.0,0,from 2B (singleton)
4Bb,0.3518067766768722,0.0,0,from 3Bb (singleton)
5Bb,0.3518067766768722,0.0,0,from 4Bb (singleton)
6Bb,0.3518067766768722,0.0,0,from 5Bb (singleton)
2Ba,0.3518067766768722,0.0,0.0,from 1B (unsampled)
3Ba,0.3518067766768722,0.0,0.0,from 2Ba (unsampled)
4Ba,0.3518067766768722,0.0,0.0,from 3Ba (unsampled)
5Ba,0.3518067766768722,0.0,0.0,from 4Ba (unsampled)
6Ba,0.3518067766768722,0.0,0.0,from 5Ba (unsampled)
1C,0.3518067766768722,0.0,0.7,from   TAXONOMIC ROOT   (crown capture probability)
2C,0.3518067766768722,0.0,0.75,from 1C (crown capture probability)
3C,0.3518067766768722,0.0,0.0,from 2C (crown capture probability)
4C,0.3518067766768722,0.0,0.0,from 3C (crown capture probability)
5C,0.3518067766768722,0.0,0.0,from 4C (crown capture probability)
6C,0.3518067766768722,0.0,0.0,from 5C (crown capture probability)
4Cd,0.3518067766768722,0.0,0.0,from 3C (unsampled)
5Cd,0.3518067766768722,0.0,0.0,from 4Cd (unsampled)
6Cd,0.3518067766768722,0.0,0.0,from 5Cd (unsampled)
3Cb,0.3518067766768722,0.0,0,from 2C (singleton)
4Cb,0.3518067766768722,0.0,0,from 3Cb (singleton)
5Cb,0.3518067766768722,0.0,0,from 4Cb (singleton)
6Cb,0.3518067766768722,0.0,0,from 5Cb (singleton)
3Cc,0.3518067766768722,0.0,0,from 2C (singleton)
4Cc,0.3518067766768722,0.0,0,from 3Cc (singleton)
5Cc,0.3518067766768722,0.0,0,from 4Cc (singleton)
6Cc,0.3518067766768722,0.0,0,from 5Cc (singleton)
2Ca,0.3518067766768722,0.0,0.0,from 1C (unsampled)
3Ca,0.3518067766768722,0.0,0.0,from 2Ca (unsampled)
4Ca,0.3518067766768722,0.0,0.0,from 3Ca (unsampled)
5Ca,0.3518067766768722,0.0,0.0,from 4Ca (unsampled)
6Ca,0.3518067766768722,0.0,0.0,from 5Ca (unsampled)
1D,0.26042377833353825,0.0,0.9440559440559441,computed
2D,0.24842513303233207,0.0,0.9545454545454546,computed
3D,0.2799640858513581,0.0,0.9375,computed
4D,0.2581640340456792,0.0,0.9642857142857143,computed
5De,0.2581640340456792,0.0,0.6666666666666667,from 4D (crown capture probability)
6De,0.2581640340456792,0.0,0.0,from 5De (crown capture probability)
6Dea,0.2581640340456792,0.0,0,from 5De (singleton)
5Df,0.2253820524352036,0.0003448390548690803,1.0,computed
6Df,0.2253820524352036,0.0003448390548690803,1.0,computed
4Dd,0.2799640858513581,0.0,0.0,from 3D (unsampled)
5Dd,0.2799640858513581,0.0,0.0,from 4Dd (unsampled)
6Dd,0.2799640858513581,0.0,0.0,from 5Dd (unsampled)
3Db,0.24842513303233207,0.0,0.0,from 2D (crown capture probability)
4Db,0.24842513303233207,0.0,0.0,from 3Db (crown capture probability)
5Db,0.24842513303233207,0.0,0.0,from 4Db (crown capture probability)
6Db,0.24842513303233207,0.0,0.0,from 5Db (crown capture probability)
3Dc,1e-06,0.0,1.0,computed
4Dc,1e-06,0.0,1.0,computed
5Dc,1e-06,0.0,1.0,computed
6Dc,1e-06,0.0,1.0,computed
2Da,0.26042377833353825,0.0,0.0,from 1D (unsampled)
3Da,0.26042377833353825,0.0,0.0,from 2Da (unsampled)
4Da,0.26042377833353825,0.0,0.0,from 3Da (unsampled)
5Da,0.26042377833353825,0.0,0.0,from 4Da (unsampled)
6Da,0.26042377833353825,0.0,0.0,from 5Da (unsampled)
1E,0.2905468228520387,0.0,0.9428571428571428,computed
2E,0.28339767401992705,0.0,0.9473684210526316,computed
