Class1,Class2,Class3,Class4,Class5,Class6,species
1OG,2OG,3OG,4OG,5OG,6OG,Anemoclema_glaucifolium
1A,2A,3A,4A,5A,6A,Clematis_elobata
1A,2A,3A,4A,5A,6A,Clematis_acerifolia
1B,2Ba,3Ba,4Ba,5Ba,6Ba,Clematis_austrogansuensis
1B,2B,3Bb,4Bb,5Bb,6Bb,Clematis_javana
1B,2B,3B,4Bc,5Bc,6Bc,Clematis_metouensis
1B,2B,3B,4B,5Bd,6Bd,Clematis_akoensis
1B,2B,3B,4B,5B,6B,Clematis_tashiroi
1B,2B,3B,4B,5B,6B,Clematis_liboensis
1C,2Ca,3Ca,4Ca,5Ca,6Ca,Clematis_wissmanniana
1C,2C,3Cb,4Cb,5Cb,6Cb,Clematis_menglaensis
1C,2C,3Cc,4Cc,5Cc,6Cc,Clematis_loureiroana
1C,2C,3C,4Cd,5Cd,6Cd,Clematis_crassipes
1C,2C,3C,4C,5C,6C,Clematis_fulvicoma
1C,2C,3C,4C,5C,6C,Clematis_smilacifolia
1D,2Da,3Da,4Da,5Da,6Da,Clematis_linearifoliola
1D,2D,3Db,4Db,5Db,6Db,Clematis_integrifolia
1D,2D,3Db,4Db,5Db,6Db,Clematis_corniculata
1D,2D,3Dc,4Dc,5Dc,6Dc,Clematis_huchouensis
1D,2D,3Dc,4Dc,5Dc,6Dc,Clematis_fusca
1D,2D,3D,4Dd,5Dd,6Dd,Clematis_longistyla
1D,2D,3D,4D,5De,6Dea,Clematis_patens
1D,2D,3D,4D,5De,6De,Clematis_tientaiensis
1D,2D,3D,4D,5De,6De,Clematis_xiangguiensis
1D,2D,3D,4D,5Df,6Df,Clematis_lanuginosa
1D,2D,3D,4D,5Df,6Df,Clematis_cadmia
1D,2D,3D,4D,5Df,6Df,Clematis_florida
1D,2D,3D,4D,5Df,6Df,Clematis_hancockiana
1D,2D,3D,4D,5Df,6Df,Clematis_courtoisii
1E,2Ea,3Ea,4Ea,5Ea,6Ea,Clematis_chengguensis
1E,2E,3Eb,4Eb,5Eb,6Eb,Clematis_uncinata
1E,2E,3Eb,4Eb,5Eb,6Eb,Clematis_meyeniana
1E,2E,3Ec,4Ec,5Ec,6Ec,Clematis_lancifolia
1E,2E,3Ed,4Ed,5Ed,6Ed,Clematis_finetiana
1E,2E,3Ed,4Ed,5Ed,6Ed,Clematis_armandi
1E,2E,3Ee,4Eea,5Eeaa,6Eeaa,Clematis_maguanensis
1E,2E,3Ee,4Eea,5Eea,6Eea,Clematis_napoensis
1E,2E,3Ee,4Eea,5Eea,6Eea,Clematis_lingyunensis
1E,2E,3Ee,4Eeb,5Eeba,6Eeba,Clematis_pingbianensis
1E,2E,3Ee,4Eeb,5Eeb,6Eeb,Clematis_zygophylla
1E,2E,3Ee,4Eeb,5Eeb,6Eeb,Clematis_crassifolia
1E,2E,3Ef,4Efa,5Efa,6Efa,Clematis_chinensis
1E,2E,3Ef,4Ef,5Ef,6Ef,Clematis_hexapetala
1E,2E,3Ef,4Ef,5Ef,6Ef,Clematis_dilatata
1E,2E,3Eg,4Ega,5Ega,6Ega,Clematis_quinquefoliolata
1E,2E,3Eg,4Egb,5Egb,6Egb,Clematis_obscura
1E,2E,3Eg,4Egc,5Egc,6Egc,Clematis_terniflora
1E,2E,3Eg,4Egd,5Egd,6Egd,Clematis_shensiensis
